"Area Type"," Area"," Area Name"," Standard Occupational Code"," Occupational Title"," Employment","Mean Wage"," Median Wage"," Entry Wage"," Experienced Wage                                                                                                                                                                                                                                             "
"1","36","New York State","15-1254","Web Developers","6,340","$81,530","$69,229","$40,709","$101,941"
"1","36","New York State","15-1255","Web and Digital Interface Designers","14,840","$128,675","$125,005","$66,640","$159,692"
"1","36","New York State","15-1299","Computer Occupations, All Other","9,860","$118,196","$108,065","$62,301","$146,144"
"1","36","New York State","15-2011","Actuaries","3,090","$156,613","$137,361","$88,113","$190,862"
"1","36","New York State","15-2021","Mathematicians",,"$126,543","$101,302","$83,189","$148,221"
"1","36","New York State","15-2031","Operations Research Analysts","6,020","$120,294","$112,416","$64,873","$148,004"
"1","36","New York State","15-2041","Statisticians","1,490","$151,483","$154,326","$85,431","$184,509"
"1","36","New York State","15-2051","Data Scientists","20,070","$137,082","$128,808","$74,616","$168,314"
"1","36","New York State","15-2099","Mathematical Science Occupations, All Other",,"$111,172","$89,371","$43,719","$144,900"
"1","36","New York State","17-0000","Architecture and Engineering Occupations","106,090","$106,616","$98,839","$65,793","$127,028"
"1","36","New York State","17-1011","Architects, Except Landscape and Naval","10,930","$116,179","$101,261","$68,341","$140,098"
"1","36","New York State","17-1012","Landscape Architects",,"$98,291","$92,385","$69,004","$112,934"
"1","36","New York State","17-1021","Cartographers and Photogrammetrists",,"$96,305","$95,562","$71,918","$108,500"
"1","36","New York State","17-1022","Surveyors","1,570","$88,368","$81,194","$57,750","$103,677"
"1","36","New York State","17-2011","Aerospace Engineers","730","$134,596","$128,669","$91,316","$156,237"
"1","36","New York State","17-2021","Agricultural Engineers",,"$77,288","$69,171","$60,352","$85,756"
"1","36","New York State","17-2031","Biomedical Engineers","920","$125,171","$120,364","$84,722","$145,395"
"1","36","New York State","17-2041","Chemical Engineers","560","$125,121","$136,080","$85,113","$145,126"
"1","36","New York State","17-2051","Civil Engineers","17,000","$119,797","$105,222","$78,195","$140,598"
